Putative_species,Original_order,Accession,Style_length,Stamen_length,Flower_length,Flower_width,Pedicel_length,Tooth_length,Tooth_width,Sinus_depth,Leaf_width,Leaf_length,Free_stipule_length,Petiole_hair_length,Laminar_hairs,Viscid,Pendent_fls,Calciphile,Bloom_date,Axis_3,Notes
parviflora,1,Spooner_2347a_OSU,2.05,2.1,2.86,1.63,8.69,1.82,5.74,2.63,10.6,7.3,2.17,0.75,0.88,0,1,0,10/2/82,0.17851,
parviflora,2,Spooner_201_OSU,2.05,1.83,2.69,2.05,10.8,3.48,8,7.78,10.3,6.7,2.16,0.73,0.25,0,1,0,9/19/79,-0.015548,
parviflora,3,Cusick_19545_OSU,1.9,2.08,2.17,1.85,9.29,2.66,9.03,4.78,9.6,6.6,2.62,3.43,0.49,0,1,0,7/30/79,-0.75132,
parviflora,4,Spooner_174_OSU,1.92,2.43,2.81,2.25,12,3.35,7.22,3.35,9.05,5.3,1.85,0.78,0.29,0,1,0,9/15/79,-0.16249,
parviflora,5,Hammer_129_OSU,2.12,1.94,2.01,2.06,6.94,2.92,11.1,4.02,10.9,7.2,2.45,1.23,0.32,0,1,0,8/26/85,-0.16712,
parviflora,6,Dumke_1487,2.62,2.13,1.79,1.57,10.79,3.03,5.27,4.62,7.6,4.4,1.44,2.58,0.5,0,1,0,9/24/80,-0.33658,
parviflora,7,Spooner_184_OSU,1.87,2.07,2.73,1.89,10.04,2.42,5.19,3.6,8.1,5.8,2.47,1.7,0.47,0,1,0,9/15/79,-1.2614,
parviflora,8,Spooner_1032_OSU,2.34,2.47,2.69,2.19,7.09,2.07,5.66,3.61,12.1,8.1,2.12,2.24,0.51,0,1,0,9/25/81,-1.2403,
parviflora,9,Miney_s.n._OSU,1.83,2.2,2.31,1.43,10.86,2.82,5.74,3.08,8,6.2,1.09,1.27,0.67,0,1,0,10/2/03,-0.00098962,
saurensis,10,Folk_229_Hanging_Rock,2.06,1.27,2.31,1.36,4.59,2.22,5.39,4.44,8.1,5.35,1.49,1.55,0.61,1,1,0,10/3/13,-0.065563,
saurensis,11,Folk_232_Table_Rock,2.06,2.1,2.68,1.57,7.01,4.04,5.3,3.07,9,5.9,3.93,2.09,0.82,1,1,0,10/5/13,-1.6103,
parviflora,12,Folk_231_Paradise_Falls,2.31,1.58,3.25,1.99,12.71,1.33,3.2,2.28,8.6,5,1.84,0.84,0.36,0,1,0,10/4/13,-0.58393,
panthertown,13,Folk_230_Toxaway,2.01,2.33,2.52,1.5,6.45,1.79,6.74,4.27,7.5,4.55,0.77,0.29,0.42,0,1,0,10/4/13,2.5185,
parviflora,14,Folk_76_Tarr_Ridge_Road,2.94,2.69,2.01,1.53,8.83,2.02,5.44,2.36,7.95,5,2.09,0.99,0.36,0,1,0,9/19/11,0.3288,
parviflora,15,Folk_79_Lake_Vesuvius,2.63,2.57,2.42,1.43,10.83,2.63,7.16,4.88,11.4,7.1,2.77,2.05,0.58,0,1,0,9/25/11,0.40161,
parviflora,16,Folk_80_Berry_Road,1.81,1.85,2.12,1.59,7.58,2.38,4.08,2.82,6,4.2,1.66,1.42,0.7,0,1,0,9/25/11,-1.0321,
parviflora,17,Folk_74_Nada_Tunnel,2.37,2.07,2.27,1.61,8.16,0.89,3.53,1.52,11,7.3,2.19,1.12,0.67,0,1,0,9/19/11,-0.028134,
parviflora,18,Folk_72_Natural_Bridge,2.46,2.17,2.61,1.46,10.71,1.61,3.47,3.92,9.3,6.3,2.27,1.11,0.46,0,1,0,9/19/11,-0.057592,
parviflora,19,Folk_77_Broke_Leg_Falls,2.39,1.96,2.4,1.64,10.06,0.81,6.47,1.71,10.3,6.8,1.66,1,0.51,0,1,0,9/19/11,1.1436,
missouriensis,20,Pittillo_2588_NCU,0.91,0.3,2.05,1.71,3.06,3.77,5.65,5.75,9.1,6.05,3.49,0.82,0.77,1,0,0,9/15/62,-2.0193,
missouriensis,21,Bostick_208-2_NCU,1.15,1.11,1.93,1.46,3.05,2.49,4.69,10.96,16.4,11.2,2.18,1.95,0.74,1,0,0,8/28/62,-0.20894,
missouriensis,22,Whetstone_3878_NCU,0.9,0.89,1.67,1.34,3.55,1.65,4.61,3.33,6,4,1.29,0.53,0.64,1,0,0,8/18/74,0.86166,
missouriensis,23,Eggleston_5478_NCU,1.02,1.77,1.74,1.59,5.36,1.69,2.87,5.6,7.25,5.1,2,2.99,1.03,1,0,0,10/11/09,-1.1846,
missouriensis,24,Bailey_279_NCU,1.02,1.28,2.18,1.54,4.73,3.56,5.04,5.84,8.15,5.8,3.56,1.01,0.32,1,0,0,10/29/47,-0.74397,
missouriensis,25,Welch_509_NCU,1.24,0.81,1.67,1.72,7.67,3.27,6.96,3.4,15.1,10.3,1.91,2.25,0.6,1,0,0,9/13/40,-1.0373,
missouriensis,26,Bailey_2863_NCU,1.01,1.32,1.88,1.63,2.61,3.37,7,7.64,11,7.1,2.76,1.67,0.67,1,0,0,8/27/52,-0.33129,
puberula,27,Redfearn_26398_NCU,1.97,1.82,2.74,1.87,7.68,2.73,6.05,3.59,7.45,5.5,1,0.18,0.83,1,1,1,8/14/69,0.38639,
